"","Sample.Name","Btub_cov","cyp51_cov","cytB_cov","erg2_cov","erg24_cov","mit_cov","sdhB_cov","sdhC_cov","sdhD_cov","Average_coverage","ratio_Btub","ratio_cyp51","ratio_erg2","ratio_erg24","ratio_sdhB","ratio_sdhC","ratio_sdhD","ratio_cytB"
"30","CZKA052301",21.9799,82.7466,2480.17,15.9309,20.3022,1774.07,21.9062,21.3733,22.5783,22.0702029699967,0.995908376097879,3.74924508453727,0.721828431829886,0.919891857252051,0.992569032091836,0.96842335474014,1.02302185578873,1.39801135242691
"31","CZKA052302",22.9629,75.0189,1742.81,19.5163,22.931,1247.71,18.5845,21.1362,19.0577,20.9152453075209,1.09790249468137,3.58680469183998,0.933113607469005,1.09637729143699,0.888562372888699,1.01056428883479,0.911187017880543,1.39680695033301
"32","CZPR052201",30.0414,62.5298,4019.93,32.6997,28.9665,2888.6,30.7697,29.3856,27.4185,30.8206864397953,0.974715474254036,2.0288256759675,1.06096598672048,0.93983954759031,0.998345707195883,0.953437557511946,0.889613541007885,1.39165339610884
"33","CZPR052202",37.8922,107.226,4997.32,32.3103,36.2378,3723.3,41.8229,37.9155,38.0956,36.1469915424532,1.04828087713737,2.96638794611904,0.893858620628299,1.00251219959592,1.15702298352771,1.04892546743398,1.05390790144342,1.34217495232724
"34","CZPR052203",40.6955,142.708,3848.09,35.8342,41.293,2793.71,47.0544,35.2193,38.7924,39.6503948501143,1.02635800107001,3.59915709640376,0.903753925666057,1.04142720787763,1.18673219214775,0.888245883379859,0.978361001110892,1.37741211507279
"35","CZPR052204",40.9044,76.3656,4072.78,37.4359,39.3837,2903.13,48.1933,38.1689,36.9901,39.8093490983979,1.027507380211,1.91828305987232,0.940379605490876,0.989307810651568,1.21060256174697,0.958792365724364,0.929181230985981,1.40289273990486
"36","CZPR052205",32.553,162.604,2538.48,33.5251,32.6859,1866.71,33.2986,33.1253,33.4366,32.2679857936795,1.0088327238069,5.03917415359251,1.03895855831716,1.01295135708168,1.03193921718294,1.02656856897738,1.0362159018475,1.35986843162569
"37","CZUH042202",43.5926,81.0319,3474.88,40.3342,43.6715,2683.02,50.7546,44.1866,35.5173,42.8425799667199,1.017506416137,1.89138702811422,0.941451239195482,1.01934804192287,1.184676554013,1.03137112737665,0.82901870119843,1.29513756885897
"38","CZUH042203",34.2132,148.015,1961.9,34.559,33.7727,1441.59,37.5174,40.9959,40.7776,36.3315217400323,0.941694659662488,4.07401047110306,0.951212565421414,0.929570201921577,1.03264047865799,1.12838378456436,1.1223752280948,1.36092786437198
"39","CZUH042204",31.5371,107.552,3334.77,34.201,28.7865,2338.22,36.7326,32.8283,28.7002,31.9790650094554,0.986179551862297,3.36320026768136,1.06948092415734,0.900167030883753,1.14864521489728,1.02655596685811,0.897468390383336,1.42620027200178
